Ovens;Batches;X1;X2;X3;X4;X5
1;1;-1;-1;-1;-1;1
1;1;-1;-1;-1;1;-1
1;2;-1;-1;1;-1;-1
1;2;-1;-1;1;-1;0
1;3;-1;-1;0;0;-1
1;3;-1;-1;1;1;1
2;1;1;1;0;0;0
2;1;1;1;1;-1;-1
2;2;1;1;1;1;1
2;2;1;1;-1;1;1
2;3;1;1;-1;-1;1
2;3;1;1;-1;1;-1
3;1;-1;1;-1;-1;-1
3;1;-1;1;0;1;-1
3;2;-1;1;-1;1;1
3;2;-1;1;1;0;0
3;3;-1;1;-1;1;1
3;3;-1;1;1;-1;1
4;1;-1;1;1;1;1
4;1;-1;1;1;1;-1
4;2;-1;1;0;-1;1
4;2;-1;1;-1;1;-1
4;3;-1;1;1;-1;-1
4;3;-1;1;-1;-1;0
5;1;1;-1;-1;1;1
5;1;1;-1;-1;-1;-1
5;2;1;-1;1;-1;1
5;2;1;-1;1;1;-1
5;3;1;-1;0;-1;-1
5;3;1;-1;-1;0;1
6;1;1;1;1;-1;1
6;1;1;1;-1;1;1
6;2;1;1;-1;0;-1
6;2;1;1;0;-1;-1
6;3;1;1;1;1;0
6;3;1;1;-1;-1;1
7;1;1;-1;1;-1;0
7;1;1;-1;1;1;1
7;2;1;-1;-1;-1;1
7;2;1;-1;-1;-1;-1
7;3;1;-1;-1;1;-1
7;3;1;-1;1;0;-1
8;1;1;0;-1;1;-1
8;1;1;0;-1;-1;0
8;2;1;0;1;1;-1
8;2;1;0;0;1;1
8;3;1;0;1;0;1
8;3;1;0;1;-1;-1
9;1;0;1;1;1;-1
9;1;0;1;-1;0;1
9;2;0;1;-1;-1;-1
9;2;0;1;1;-1;1
9;3;0;1;-1;1;-1
9;3;0;1;0;1;0
10;1;-1;-1;1;1;-1
10;1;-1;-1;1;-1;1
10;2;-1;-1;-1;1;0
10;2;-1;-1;-1;0;1
10;3;-1;-1;1;1;1
10;3;-1;-1;-1;-1;-1
