Batch;X1;X2;X3;X4;X5;X6;X7;Occ;X8;X9;X10;X11;Block;X12;X13;X14;X15;X16
1;-1;-1;-1;-1;-1;1;-1;1;0;0;0;0;1;-1;-1;-1;0;0
1;-1;-1;-1;-1;-1;1;-1;1;0;0;0;0;1;1;1;1;0;0
1;-1;-1;-1;-1;-1;1;-1;1;0;0;0;0;1;1;-1;1;1;0
1;-1;-1;-1;-1;-1;1;-1;1;0;0;0;0;1;-1;1;1;1;0
1;-1;-1;-1;-1;-1;1;-1;1;0;0;0;0;1;0;0;0;0;1
1;-1;-1;-1;-1;-1;1;-1;2;1;0;0;0;2;1;0;-1;1;0
1;-1;-1;-1;-1;-1;1;-1;2;1;0;0;0;2;-1;1;0;1;0
1;-1;-1;-1;-1;-1;1;-1;2;1;0;0;0;2;0;-1;1;0;1
1;-1;-1;-1;-1;-1;1;-1;2;1;0;0;0;2;-1;-1;-1;0;0
1;-1;-1;-1;-1;-1;1;-1;2;1;0;0;0;2;1;1;1;0;0
1;-1;-1;-1;-1;-1;1;-1;3;0;1;0;0;3;-1;1;1;0;1
1;-1;-1;-1;-1;-1;1;-1;3;0;1;0;0;3;0;1;1;0;0
1;-1;-1;-1;-1;-1;1;-1;3;0;1;0;0;3;1;1;-1;1;0
1;-1;-1;-1;-1;-1;1;-1;3;0;1;0;0;3;1;-1;1;1;0
1;-1;-1;-1;-1;-1;1;-1;3;0;1;0;0;3;-1;-1;-1;0;0
1;-1;-1;-1;-1;-1;1;-1;4;0;0;1;0;4;-1;1;-1;0;0
1;-1;-1;-1;-1;-1;1;-1;4;0;0;1;0;4;1;0;1;1;0
1;-1;-1;-1;-1;-1;1;-1;4;0;0;1;0;4;-1;-1;1;0;1
1;-1;-1;-1;-1;-1;1;-1;4;0;0;1;0;4;1;1;-1;0;1
1;-1;-1;-1;-1;-1;1;-1;4;0;0;1;0;4;1;-1;1;0;0
1;-1;-1;-1;-1;-1;1;-1;5;0;0;0;1;5;1;-1;1;0;1
1;-1;-1;-1;-1;-1;1;-1;5;0;0;0;1;5;-1;1;-1;0;1
1;-1;-1;-1;-1;-1;1;-1;5;0;0;0;1;5;1;1;1;1;0
1;-1;-1;-1;-1;-1;1;-1;5;0;0;0;1;5;0;0;0;0;0
1;-1;-1;-1;-1;-1;1;-1;5;0;0;0;1;5;-1;-1;-1;1;0
2;-1;-1;-1;1;1;-1;-1;1;0;0;0;0;6;-1;1;1;0;0
2;-1;-1;-1;1;1;-1;-1;1;0;0;0;0;6;-1;1;-1;1;0
2;-1;-1;-1;1;1;-1;-1;1;0;0;0;0;6;1;-1;-1;0;0
2;-1;-1;-1;1;1;-1;-1;1;0;0;0;0;6;-1;-1;1;0;1
2;-1;-1;-1;1;1;-1;-1;1;0;0;0;0;6;1;1;1;0;1
2;-1;-1;-1;1;1;-1;-1;2;1;0;0;0;7;-1;1;-1;0;1
2;-1;-1;-1;1;1;-1;-1;2;1;0;0;0;7;1;-1;1;0;1
2;-1;-1;-1;1;1;-1;-1;2;1;0;0;0;7;-1;0;1;1;0
2;-1;-1;-1;1;1;-1;-1;2;1;0;0;0;7;-1;-1;-1;0;0
2;-1;-1;-1;1;1;-1;-1;2;1;0;0;0;7;1;1;1;0;0
2;-1;-1;-1;1;1;-1;-1;3;0;1;0;0;8;1;-1;-1;1;0
2;-1;-1;-1;1;1;-1;-1;3;0;1;0;0;8;0;-1;1;0;0
2;-1;-1;-1;1;1;-1;-1;3;0;1;0;0;8;1;1;-1;0;0
2;-1;-1;-1;1;1;-1;-1;3;0;1;0;0;8;-1;0;-1;0;1
2;-1;-1;-1;1;1;-1;-1;3;0;1;0;0;8;1;-1;1;0;1
